video_id,path,track,label,start_s,end_s,source_url,split,license_note,quality_status
xe03syzN5Yk,data/external_tsl51/videos/xe03syzN5Yk.mp4,tsl51,ฉัน_var_1,0.0,11.0,https://www.youtube.com/watch?v=xe03syzN5Yk,train,unknown-yt,prelabel
xe03syzN5Yk,data/external_tsl51/videos/xe03syzN5Yk.mp4,tsl51,ฉัน_var_2,0.0,11.0,https://www.youtube.com/watch?v=xe03syzN5Yk,train,unknown-yt,prelabel
PkDgPWE4USA,data/external_tsl51/videos/PkDgPWE4USA.mp4,tsl51,ชอบ_var_1,0.0,24.0,https://www.youtube.com/watch?v=PkDgPWE4USA,train,unknown-yt,prelabel
j3yJXvQcPp0,data/external_tsl51/videos/j3yJXvQcPp0.mp4,tsl51,ทำไม_var_1,0.0,3.0,https://www.youtube.com/watch?v=j3yJXvQcPp0,train,unknown-yt,prelabel
s7Lxm0KBiqg,data/external_tsl51/videos/s7Lxm0KBiqg.mp4,tsl51,น้อง_var_1,0.0,5.0,https://www.youtube.com/watch?v=s7Lxm0KBiqg,train,unknown-yt,prelabel
AnhWi08vD2M,data/external_tsl51/videos/AnhWi08vD2M.mp4,tsl51,น้อง_var_1,0.0,9.0,https://www.youtube.com/watch?v=AnhWi08vD2M,train,unknown-yt,prelabel
VoteZ_WKxy0,data/external_tsl51/videos/VoteZ_WKxy0.mp4,tsl51,พรุ่งนี้_var_1,0.0,5.0,https://www.youtube.com/watch?v=VoteZ_WKxy0,train,unknown-yt,prelabel
pYOJ690bLYc,data/external_tsl51/videos/pYOJ690bLYc.mp4,tsl51,พรุ่งนี้_var_1,0.0,4.0,https://www.youtube.com/watch?v=pYOJ690bLYc,train,unknown-yt,prelabel
CULj41x_vIw,data/external_tsl51/videos/CULj41x_vIw.mp4,tsl51,ยาย_var_1,0.0,6.0,https://www.youtube.com/watch?v=CULj41x_vIw,train,unknown-yt,prelabel
clP0z9-8sqk,data/external_tsl51/videos/clP0z9-8sqk.mp4,tsl51,ยาย_var_1,0.0,6.0,https://www.youtube.com/watch?v=clP0z9-8sqk,train,unknown-yt,prelabel
V_9sgKwPlqM,data/external_tsl51/videos/V_9sgKwPlqM.mp4,tsl51,ยาย_var_1,0.0,10.0,https://www.youtube.com/watch?v=V_9sgKwPlqM,train,unknown-yt,prelabel
O2t1LTLGq5s,data/external_tsl51/videos/O2t1LTLGq5s.mp4,tsl51,ร้อน_สองมือ,0.0,26.0,https://www.youtube.com/watch?v=O2t1LTLGq5s,train,unknown-yt,prelabel
yh-yRQMY6LQ,data/external_tsl51/videos/yh-yRQMY6LQ.mp4,tsl51,ร้อน_สองมือ,0.0,5.0,https://www.youtube.com/watch?v=yh-yRQMY6LQ,train,unknown-yt,prelabel
5_w3TWvTLMY,data/external_tsl51/videos/5_w3TWvTLMY.mp4,tsl51,วันหยุด_var_1,0.0,6.0,https://www.youtube.com/watch?v=5_w3TWvTLMY,train,unknown-yt,prelabel
3AyDSOIbJ9c,data/external_tsl51/videos/3AyDSOIbJ9c.mp4,tsl51,วันหยุด_var_1,0.0,4.0,https://www.youtube.com/watch?v=3AyDSOIbJ9c,train,unknown-yt,prelabel
VoteZ_WKxy0,data/external_tsl51/videos/VoteZ_WKxy0.mp4,tsl51,วันหยุด_var_1,0.0,5.0,https://www.youtube.com/watch?v=VoteZ_WKxy0,train,unknown-yt,prelabel
H-XJtaOr4R8,data/external_tsl51/videos/H-XJtaOr4R8.mp4,tsl51,สบายดี_var_1,0.0,5.0,https://www.youtube.com/watch?v=H-XJtaOr4R8,train,unknown-yt,prelabel
p0yu5jmduBY,data/external_tsl51/videos/p0yu5jmduBY.mp4,tsl51,สบายดี_var_1,0.0,5.0,https://www.youtube.com/watch?v=p0yu5jmduBY,train,unknown-yt,prelabel
hKElggP_Xys,data/external_tsl51/videos/hKElggP_Xys.mp4,tsl51,สวัสดี_อายุเท่ากันหรือน้อยกว่า,0.0,5.0,https://www.youtube.com/watch?v=hKElggP_Xys,train,unknown-yt,prelabel
9vzoU0Xpmc4,data/external_tsl51/videos/9vzoU0Xpmc4.mp4,tsl51,อย่า_var_1,0.0,6.0,https://www.youtube.com/watch?v=9vzoU0Xpmc4,train,unknown-yt,prelabel
dBOTGvahFmU,data/external_tsl51/videos/dBOTGvahFmU.mp4,tsl51,อย่า_var_1,0.0,30.0,https://www.youtube.com/watch?v=dBOTGvahFmU,train,unknown-yt,prelabel
iqkyqmP0GXw,data/external_tsl51/videos/iqkyqmP0GXw.mp4,tsl51,อะไร_var_1,0.0,30.0,https://www.youtube.com/watch?v=iqkyqmP0GXw,train,unknown-yt,prelabel
PkDgPWE4USA,data/external_tsl51/videos/PkDgPWE4USA.mp4,tsl51,เช้า_var_1,0.0,24.0,https://www.youtube.com/watch?v=PkDgPWE4USA,train,unknown-yt,prelabel
iqkyqmP0GXw,data/external_tsl51/videos/iqkyqmP0GXw.mp4,tsl51,เช้า_var_1,0.0,30.0,https://www.youtube.com/watch?v=iqkyqmP0GXw,train,unknown-yt,prelabel
iqkyqmP0GXw,data/external_tsl51/videos/iqkyqmP0GXw.mp4,tsl51,เรียก_var_1,0.0,30.0,https://www.youtube.com/watch?v=iqkyqmP0GXw,train,unknown-yt,prelabel
dBOTGvahFmU,data/external_tsl51/videos/dBOTGvahFmU.mp4,tsl51,เหนื่อย_var_1,0.0,30.0,https://www.youtube.com/watch?v=dBOTGvahFmU,train,unknown-yt,prelabel
4GlZsBElwr0,data/external_tsl51/videos/4GlZsBElwr0.mp4,tsl51,เหนื่อย_var_1,0.0,5.0,https://www.youtube.com/watch?v=4GlZsBElwr0,train,unknown-yt,prelabel
h_VmjseJqxM,data/external_tsl51/videos/h_VmjseJqxM.mp4,tsl51,เหนื่อย_var_1,0.0,21.0,https://www.youtube.com/watch?v=h_VmjseJqxM,train,unknown-yt,prelabel
