video_id,path,track,label,start_s,end_s,source_url,split,license_note,quality_status,recommended_split,review_priority,review_action,review_decision,reviewed_label
9vzoU0Xpmc4,data/external_tsl51/videos/9vzoU0Xpmc4.mp4,tsl51,กรุงเทพ_var_1,0.0,6.0,https://www.youtube.com/watch?v=9vzoU0Xpmc4,val,unknown-yt,prelabel,external_test,1,confirm_label_or_reject,,
c9bRgSNYx9c,data/external_tsl51/videos/c9bRgSNYx9c.mp4,tsl51,กลัว_var_1,0.0,8.0,https://www.youtube.com/watch?v=c9bRgSNYx9c,val,unknown-yt,prelabel,external_test,2,confirm_label_or_reject,,
qXI75c7uD3E,data/external_tsl51/videos/qXI75c7uD3E.mp4,tsl51,ขนมปัง_var_1,0.0,5.0,https://www.youtube.com/watch?v=qXI75c7uD3E,train,unknown-yt,prelabel,external_test,3,confirm_label_or_reject,,
R88i6m_kxGI,data/external_tsl51/videos/R88i6m_kxGI.mp4,tsl51,คุณ_var_1,0.0,30.0,https://www.youtube.com/watch?v=R88i6m_kxGI,train,unknown-yt,prelabel,external_test,4,confirm_label_or_reject,,
MJP5DCcqxIs,data/external_tsl51/videos/MJP5DCcqxIs.mp4,tsl51,ง่วง_var_1,0.0,5.0,https://www.youtube.com/watch?v=MJP5DCcqxIs,train,unknown-yt,prelabel,external_test,5,confirm_label_or_reject,,
qy3JY5p1JZw,data/external_tsl51/videos/qy3JY5p1JZw.mp4,tsl51,กรุงเทพ_var_1,0.0,5.0,https://www.youtube.com/watch?v=qy3JY5p1JZw,val,unknown-yt,prelabel,val,6,confirm_label_or_reject,,
yhK3FWaOFC0,data/external_tsl51/videos/yhK3FWaOFC0.mp4,tsl51,กรุงเทพ_var_1,0.0,7.0,https://www.youtube.com/watch?v=yhK3FWaOFC0,train,unknown-yt,prelabel,val,7,confirm_label_or_reject,,
f0sMioZF21s,data/external_tsl51/videos/f0sMioZF21s.mp4,tsl51,กลัว_var_1,0.0,17.0,https://www.youtube.com/watch?v=f0sMioZF21s,train,unknown-yt,prelabel,val,8,confirm_label_or_reject,,
uea4Aprdf_w,data/external_tsl51/videos/uea4Aprdf_w.mp4,tsl51,กลัว_var_1,0.0,6.0,https://www.youtube.com/watch?v=uea4Aprdf_w,train,unknown-yt,prelabel,val,9,confirm_label_or_reject,,
1gTu-JFsLN8,data/external_tsl51/videos/1gTu-JFsLN8.mp4,tsl51,กิน_var_1,0.0,21.0,https://www.youtube.com/watch?v=1gTu-JFsLN8,train,unknown-yt,prelabel,val,10,confirm_label_or_reject,,
qb5gkuwJO0M,data/external_tsl51/videos/qb5gkuwJO0M.mp4,tsl51,ขนมปัง_var_1,0.0,5.0,https://www.youtube.com/watch?v=qb5gkuwJO0M,train,unknown-yt,prelabel,train,11,confirm_label_or_reject,,
rc_2BQCP7kQ,data/external_tsl51/videos/rc_2BQCP7kQ.mp4,tsl51,ขนมปัง_var_1,0.0,5.0,https://www.youtube.com/watch?v=rc_2BQCP7kQ,train,unknown-yt,prelabel,train,12,confirm_label_or_reject,,
9quMHN15mcE,data/external_tsl51/videos/9quMHN15mcE.mp4,tsl51,ขอโทษ_อายุเท่ากันหรือน้อยกว่า,0.0,5.0,https://www.youtube.com/watch?v=9quMHN15mcE,train,unknown-yt,prelabel,train,13,confirm_label_or_reject,,
QX3jlOfNWuE,data/external_tsl51/videos/QX3jlOfNWuE.mp4,tsl51,ขอโทษ_อายุเท่ากันหรือน้อยกว่า,0.0,17.0,https://www.youtube.com/watch?v=QX3jlOfNWuE,train,unknown-yt,prelabel,train,14,confirm_label_or_reject,,
hLU2Wh84Ok4,data/external_tsl51/videos/hLU2Wh84Ok4.mp4,tsl51,ขอโทษ_อายุเท่ากันหรือน้อยกว่า,0.0,4.0,https://www.youtube.com/watch?v=hLU2Wh84Ok4,train,unknown-yt,prelabel,train,15,confirm_label_or_reject,,
